epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1942.97,0.65664,0.38101,0.87225,0.95115,0.9386,0.97202,0.81662,0.64345,0.41835,0.86441,0.000416,0.000416,0.000416
82,1967.15,0.66763,0.38531,0.86913,0.96095,0.93391,0.97332,0.82198,0.60276,0.40814,0.85088,0.0003962,0.0003962,0.0003962
83,1991.75,0.64561,0.37648,0.86806,0.96823,0.93312,0.97459,0.82569,0.61672,0.40508,0.85245,0.0003764,0.0003764,0.0003764
84,2015.82,0.63623,0.37282,0.86329,0.95896,0.94095,0.97479,0.81791,0.62361,0.40462,0.85478,0.0003566,0.0003566,0.0003566
85,2040.54,0.63638,0.37217,0.8628,0.96569,0.93562,0.97395,0.82499,0.61912,0.35987,0.87152,0.0003368,0.0003368,0.0003368
86,2063.13,0.6293,0.36963,0.86825,0.9623,0.94329,0.97501,0.83252,0.58073,0.38469,0.84969,0.000317,0.000317,0.000317
87,2087.29,0.63033,0.36862,0.8632,0.96319,0.94486,0.97556,0.83073,0.57685,0.41889,0.85276,0.0002972,0.0002972,0.0002972
88,2109.7,0.63332,0.36793,0.86679,0.96607,0.94659,0.97812,0.84392,0.5563,0.37968,0.84932,0.0002774,0.0002774,0.0002774
89,2133.76,0.60834,0.35948,0.86173,0.96967,0.94329,0.97467,0.83473,0.58169,0.37547,0.84531,0.0002576,0.0002576,0.0002576
90,2156.21,0.61109,0.35836,0.86215,0.96981,0.9343,0.97576,0.83006,0.58301,0.40658,0.84716,0.0002378,0.0002378,0.0002378
91,2180.3,0.56136,0.32457,0.85024,0.98415,0.93625,0.97882,0.84477,0.57597,0.38735,0.84885,0.000218,0.000218,0.000218
92,2204.45,0.55229,0.31838,0.84502,0.97067,0.94488,0.97753,0.84448,0.56917,0.39452,0.84849,0.0001982,0.0001982,0.0001982
93,2227.75,0.5304,0.31103,0.83843,0.97133,0.94173,0.97745,0.84281,0.58327,0.38114,0.85111,0.0001784,0.0001784,0.0001784
94,2250.82,0.53951,0.31314,0.84488,0.97451,0.94642,0.97864,0.84781,0.57276,0.38278,0.8446,0.0001586,0.0001586,0.0001586
95,2275.15,0.52121,0.30707,0.83694,0.97293,0.94178,0.97583,0.84162,0.58104,0.38997,0.84671,0.0001388,0.0001388,0.0001388
96,2299.16,0.5172,0.30619,0.83972,0.97119,0.9429,0.97505,0.84595,0.56044,0.39892,0.84415,0.000119,0.000119,0.000119
97,2322.43,0.51309,0.30212,0.83703,0.97149,0.94625,0.97684,0.84528,0.56032,0.38401,0.84173,9.92e-05,9.92e-05,9.92e-05
98,2345.45,0.51324,0.30057,0.83722,0.96917,0.9468,0.97613,0.84679,0.57095,0.39112,0.84344,7.94e-05,7.94e-05,7.94e-05
99,2367.8,0.5076,0.2992,0.83412,0.97136,0.94447,0.9762,0.8527,0.56054,0.38722,0.84339,5.96e-05,5.96e-05,5.96e-05
100,2392.99,0.49475,0.29464,0.83419,0.97297,0.94313,0.97759,0.84974,0.5533,0.38629,0.83975,3.98e-05,3.98e-05,3.98e-05
